len, freq, err, condition, pred
4, 0.003, 0.0826446280991736, duration>287.5 & duration<=421.5 & contact_unknown<=0.5 & month_jun>0.5, 0.909090909090909
4, 0.001, 0, age>57.5 & duration>287.5 & contact_unknown<=0.5 & month_jun>0.5, 1
2, 0.27, 0.0249089373162541, duration<=731.5 & contact_unknown>0.5, 0.0255623721881391
3, 0.001, 0, balance<=-349.5 & duration>731.5 & marital_married<=0.5, 0
1, 0.968, 0.104024509450584, balance>-349.5, 0.117932609937179
1, 0.64, 0.0922030718199743, balance<=790, 0.102763385146805
1, 0.36, 0.119289940828402, balance>790, 0.138461538461538
1, 0.562, 0.0341613742167178, duration<=203.5, 0.0354156419085096
1, 0.7, 0.104710517575426, day<=20.5, 0.118831425187525
1, 0.3, 0.0963620598368644, day>20.5, 0.10803324099723
1, 0.438, 0.170798467130827, duration>203.5, 0.218572331017056
1, 0.975, 0.0961802726221015, age<=61.5, 0.107801418439716
1, 0.987, 0.0988865117687868, age<=69, 0.111266816143498
2, 0.253, 0.011890169452571, duration<=499 & contact_unknown>0.5, 0.012035010940919
2, 0.18, 0.0268451955286236, contact_unknown>0.5 & month_jun<=0.5, 0.0276073619631902
2, 0.005, 0.103806228373702, duration>873.5 & month_jun>0.5, 0.882352941176471
1, 0.709, 0.102751284105618, day>9.5, 0.116269996098322
3, 0.001, 0, duration<=203.5 & duration>173.5 & month_mar>0.5, 1
3, 0, 0, age>68.5 & duration<=203.5 & poutcome_success>0.5, 0
1, 0.418, 0.0797754484452436, balance<=291.5, 0.0874172185430464
1, 0.582, 0.117360158512422, balance>291.5, 0.135802469135802
3, 0.007, 0, balance<=22.5 & day<=20.5 & month_apr>0.5, 0
3, 0.001, 0, day>20.5 & pdays>285.5 & month_apr>0.5, 0
3, 0.001, 0, duration>203.5 & housing_yes>0.5 & month_oct>0.5, 1
4, 0.001, 0, duration>203.5 & duration<=708.5 & pdays>374.5 & housing_yes>0.5, 1
1, 0.784, 0.0551070161792469, duration<=340.5, 0.0585331452750353
2, 0.432, 0.0219050890138878, duration<=340.5 & housing_no<=0.5, 0.0224071702944942
1, 0.257, 0.100344409557075, day<=8.5, 0.113146551724138
1, 0.743, 0.102884374778557, day>8.5, 0.116443452380952
1, 0.254, 0.0160728779529241, duration<=103.5, 0.0163398692810458
5, 0.001, 0.16, age<=24.5 & balance<=1612.5 & duration>340.5 & job_blue_collar<=0.5 & contact_unknown<=0.5, 0.2
1, 0.98, 0.0992772238397833, age>24.5, 0.111769686706181
1, 0.214, 0.116312454513284, balance>1612.5, 0.134366925064599
1, 0.216, 0.218698224852071, duration>340.5, 0.323076923076923
3, 0, 0, balance<=-171 & duration>825.5 & job_blue_collar>0.5, 1
1, 0.943, 0.105555421779998, balance>-171, 0.119941348973607
4, 0, 0, duration>731.5 & duration<=737 & marital_married<=0.5 & contact_unknown>0.5, 1
1, 0.698, 0.100778799279688, day>10.5, 0.113708399366086
3, 0.002, 0, duration>203.5 & month_jun>0.5 & poutcome_success>0.5, 1
4, 0, 0, age>57.5 & day<=4.5 & contact_unknown<=0.5 & month_jun>0.5, 1
1, 0.079, 0.174133579562942, age>57.5, 0.224561403508772
2, 0.249, 0.0109755962360234, duration<=475.5 & contact_unknown>0.5, 0.0110987791342952
1, 0, 0, duration>2132, 0
1, 0.961, 0.101661938724679, balance<=6404.5, 0.114853195164076
1, 0.502, 0.0283332565157484, duration<=180.5, 0.0291850220264317
2, 0.23, 0.0130309026371653, duration<=126 & education_tertiary<=0.5, 0.0132052821128451
4, 0.001, 0, age>60.5 & duration<=573.5 & duration>388 & pdays>91.5, 1
1, 0.216, 0.100970389910175, day<=7.5, 0.113956466069142
1, 0.784, 0.102581923487273, day>7.5, 0.116049382716049
1, 0.088, 0.249798485406363, duration>573.5, 0.514195583596215
3, 0.001, 0, duration>573.5 & pdays>117 & month_nov>0.5, 0
3, 0.001, 0, day>29.5 & duration>573.5 & month_apr>0.5, 1
1, 0.981, 0.0974224337263613, age<=65.5, 0.10938821539329
3, 0, 0, age>65.5 & duration>573.5 & month_aug>0.5, 1
1, 0.987, 0.0988865117687868, age<=69.5, 0.111266816143498
2, 0.217, 0.0113621350244418, duration<=225.5 & contact_cellular<=0.5, 0.0114942528735632
1, 0.211, 0.0154800410190168, duration<=91, 0.0157273918741809
1, 0.02, 0.210546068680803, age<=24.5, 0.301369863013699
2, 0.952, 0.0922459111496646, age>24.5 & age<=60.5, 0.102817310485042
1, 0.784, 0.0982465913205362, balance<=1603.5, 0.110444601270289
1, 0.216, 0.116242371517716, balance>1603.5, 0.134271099744246
1, 0.209, 0.0652708214551993, job_blue_collar>0.5, 0.0701986754966887
3, 0.009, 0.198347107438017, duration>225.5 & contact_unknown<=0.5 & month_jun>0.5, 0.727272727272727
2, 0.246, 0.00890796616588815, duration<=459.5 & contact_unknown>0.5, 0.00898876404494382
1, 0.96, 0.101687411481389, balance<=6390.5, 0.114886265476533
1, 0.466, 0.025993008655531, duration<=168.5, 0.0267062314540059
2, 0.124, 0.00880987654320988, duration<=168.5 & campaign>3.5, 0.00888888888888889
2, 0.049, 0.0433884297520661, duration<=168.5 & pdays>143, 0.0454545454545455
2, 0.494, 0.0303389737199025, duration<=523.5 & housing_no<=0.5, 0.0313199105145414
1, 0.534, 0.155851769528806, duration>168.5, 0.193164163645779
4, 0.001, 0, duration>168.5 & previous>0.5 & housing_no<=0.5 & month_sep>0.5, 1
4, 0, 0, balance<=39.5 & marital_married>0.5 & housing_no<=0.5 & month_sep>0.5, 0
1, 0.77, 0.108835690811204, balance>39.5, 0.124281609195402
3, 0.002, 0, duration>168.5 & pdays<=27.5 & month_mar>0.5, 1
1, 0.984, 0.0978166833657678, age<=67.5, 0.109893198426082
1, 0.016, 0.248810939357907, age>67.5, 0.46551724137931
1, 0.923, 0.0743847368148647, duration<=614.5, 0.0809352517985611
2, 0.488, 0.0199916701374427, duration<=179 & poutcome_success<=0.5, 0.0204081632653061
1, 0.226, 0.0168422251153203, duration<=95.5, 0.0171358629130967
3, 0.001, 0, day>29.5 & duration>614.5 & month_apr>0.5, 1
2, 0.135, 0.0683284063423811, duration<=650 & month_aug>0.5, 0.0737704918032787
1, 0.077, 0.249183673469388, duration>614.5, 0.528571428571429
1, 0.86, 0.0945967266674249, pdays<=98.5, 0.105787781350482
3, 0.01, 0.16, pdays<=98.5 & pdays>86.5 & poutcome_success>0.5, 0.8
1, 0.01, 0.249795918367347, age>72.5, 0.514285714285714
1, 0.793, 0.0983131082361225, balance<=1687, 0.110529986052999
1, 0.207, 0.116794518001659, balance>1687, 0.135026737967914
2, 0.019, 0.0421712802768166, pdays>98.5 & month_nov>0.5, 0.0441176470588235
3, 0.006, 0.09, pdays>176.5 & pdays<=184.5 & poutcome_success>0.5, 0.9
3, 0.002, 0, age>62.5 & pdays>98.5 & poutcome_success>0.5, 1
1, 0.14, 0.144952272336703, pdays>98.5, 0.175889328063241
2, 0.003, 0, pdays>98.5 & job_entrepreneur>0.5, 0
1, 0.511, 0.0288761337868481, duration<=184.5, 0.0297619047619048
2, 0.5, 0.0205648252808802, duration<=184.5 & poutcome_success<=0.5, 0.0210060807075732
